,frame_no,rotation,net_rotation
125,1260,-0.15869990579683113,3.02169731415049
126,1270,-0.027323492735291863,2.9943738214151985
127,1280,-0.2069276455275076,2.7874461758876907
128,1290,0.14319972114350465,2.9306458970311953
129,1300,-0.0906331720869891,2.840012724944206
130,1310,-0.019597346323554067,2.8204153786206523
131,1320,-0.17672019042402035,2.6436951881966317
132,1330,-0.11587816127195062,2.527817026924681
133,1340,0.4548634601003066,2.9826804870249877
134,1350,0.6318031425039918,3.6144836295289795
135,1360,-0.6162658906432114,2.998217738885768
136,1370,0.09953170296274018,3.0977494418485083
137,1380,0.05350654118039402,3.151255983028902
138,1390,0.4554371082465647,3.606693091275467
139,1400,0.3079095606881652,3.9146026519636323
140,1410,-0.3166896487349076,3.5979130032287245
141,1420,-0.0359671304740681,3.5619458727546562
