frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
370,"[0.0054127751805541635, 0.0006167156763989823, -0.0030600521333319364]","[12.412073475818055, 15.934311676151383, 4.833856703209722]",[ 1.19320851 -0.15412333  1.        ],"[12.412073475818055, 15.934311676151383, 4.833856703209722]",70.24854647172944
380,"[0.004067768987500386, 0.0032951954624920177, -0.006834923529170922]","[12.417486250998609, 15.934928391827782, 4.8307966510763904]",[-1.19143336  0.14278952 -1.        ],"[12.417486250998609, 15.934928391827782, 4.8307966510763904]",79.4641857531414
390,"[0.004770120576392145, 0.014723879108339943, 0.006886565511111442]","[12.42155401998611, 15.938223587290274, 4.8239617275472195]",[ 1.1909739 -0.1569226  1.       ],"[12.42155401998611, 15.938223587290274, 4.8239617275472195]",67.20818517644516
400,"[-0.009965508806949686, -0.00024253784722638727, 0.03631546077222492]","[12.426324140562501, 15.952947466398614, 4.830848293058331]",[ 1.19415608 -0.15176176  1.        ],"[12.426324140562501, 15.952947466398614, 4.830848293058331]",65.48667936907799
410,"[0.011505624225003785, -0.003282562073616546, 0.02378705582916396]","[12.416358631755552, 15.952704928551388, 4.867163753830556]",[ 1.22438861 -0.15977143  1.        ],"[12.416358631755552, 15.952704928551388, 4.867163753830556]",24.822398648105356
420,"[0.013225381920834778, -0.007118260266659959, -0.001083434655555493]","[12.427864255980555, 15.949422366477771, 4.89095080965972]",[ 1.22999088 -0.14929497  1.        ],"[12.427864255980555, 15.949422366477771, 4.89095080965972]",47.34332172731975
430,"[0.023283467394442425, 0.013839455451384097, 0.015053958738891815]","[12.44108963790139, 15.942304106211111, 4.889867375004164]",[ 1.21188952 -0.14452038  1.        ],"[12.44108963790139, 15.942304106211111, 4.889867375004164]",32.42622742532659
440,"[0.011789088844444962, -0.009575308876401678, -0.019711707362498387]","[12.464373105295833, 15.956143561662495, 4.904921333743056]",[-1.18415525  0.13181549 -1.        ],"[12.464373105295833, 15.956143561662495, 4.904921333743056]",83.3396476290843
450,"[0.0043114073750007975, 0.003439749515280255, -0.013389773524999704]","[12.452584016451388, 15.965718870538897, 4.9246330411055546]",[-1.1725907   0.12942135 -1.        ],"[12.452584016451388, 15.965718870538897, 4.9246330411055546]",66.91988270059102
460,"[-0.008617008151396988, -0.003315132513884933, 0.0030299756861085214]","[12.448272609076387, 15.962279121023617, 4.938022814630554]",[-1.16444467  0.12301597 -1.        ],"[12.448272609076387, 15.962279121023617, 4.938022814630554]",63.84229962859806
470,"[-0.01587206463332791, -0.011325590462503143, -0.0015841371347224964]","[12.456889617227784, 15.965594253537502, 4.934992838944446]",[-1.16134354  0.11938222 -1.        ],"[12.456889617227784, 15.965594253537502, 4.934992838944446]",51.634097882152126
480,"[0.008538364375000995, -0.007204547668054673, -0.012741725301386175]","[12.472761681861112, 15.976919844000005, 4.936576976079168]",[-1.1865924   0.13497865 -1.        ],"[12.472761681861112, 15.976919844000005, 4.936576976079168]",86.44278473644185
490,"[0.004217340004164072, -0.0038283255513853476, -0.003743543562503504]","[12.46422331748611, 15.98412439166806, 4.949318701380554]",[ 1.19449241 -0.14497713  1.        ],"[12.46422331748611, 15.98412439166806, 4.949318701380554]",80.01469759196101
