frame_no,relative_translation,net_relative_translation
490,-1.1760568199361585e-12,1.9822468008090163e-12
500,-5.085633118681391e-14,1.9313904696222026e-12
510,6.756619912461255e-14,1.998956668746815e-12
520,-1.4168464318567456e-12,5.821102368900694e-13
530,-1.6187817283353949e-12,-1.0366714914453255e-12
540,-1.684425773137304e-12,-2.7210972645826294e-12
550,-1.915143456740282e-12,-4.636240721322911e-12
560,-1.9226578372338706e-12,-6.558898558556781e-12
570,-1.1149562739541715e-12,-7.673854832510953e-12
580,-1.0869430341409085e-12,-8.76079786665186e-12
590,-2.6623993967235127e-12,-1.1423197263375373e-11
600,-2.839467479235198e-12,-1.426266474261057e-11
610,2.574548106934434e-12,-1.1688116635676137e-11
620,-1.60993250598001e-12,-1.3298049141656147e-11
630,-1.1028831070583938e-12,-1.440093224871454e-11
640,2.072532184186766e-12,-1.2328400064527775e-11
650,2.3830726263830312e-12,-9.945327438144743e-12
660,-2.0283940523343993e-12,-1.1973721490479143e-11
670,3.7316061774261665e-13,-1.1600560872736526e-11
680,-4.696088786631112e-13,-1.2070169751399638e-11
690,-1.854673530409315e-12,-1.3924843281808952e-11
700,-1.3295226047378602e-12,-1.525436588654681e-11
710,-2.0225107458302222e-13,-1.5456616961129833e-11
720,-1.1444427762973535e-12,-1.6601059737427186e-11
730,-9.348663998931695e-13,-1.7535926137320356e-11
740,-2.575431232866617e-13,-1.7793469260607016e-11
750,1.0797762051976127e-12,-1.6713693055409403e-11
760,5.476915338045866e-13,-1.6166001521604817e-11
770,1.105403274810806e-12,-1.506059824679401e-11
780,1.264742707551751e-12,-1.3795855539242261e-11
790,1.3096119312824856e-12,-1.2486243607959775e-11
800,8.309815819427406e-13,-1.1655262026017034e-11
810,-8.821533561612114e-13,-1.2537415382178245e-11
820,-8.187726429309182e-13,-1.3356188025109164e-11
830,-7.2010478104919e-13,-1.4076292806158354e-11
840,3.759149542158313e-14,-1.4038701310736771e-11
850,-4.3105166659270935e-13,-1.4469752977329481e-11
860,-7.999261986315262e-13,-1.526967917596101e-11
870,-8.660472163188992e-13,-1.6135726392279907e-11
880,-8.157975887028358e-13,-1.6951523980982744e-11
890,-3.026136233388587e-13,-1.72541376043216e-11
900,-1.1506108761015364e-12,-1.8404748480423136e-11
910,-1.3300302890129557e-12,-1.9734778769436092e-11
920,-1.0599231155909316e-12,-2.0794701885027023e-11
930,-1.091658957892807e-12,-2.188636084291983e-11
940,-1.156865950574069e-12,-2.30432267934939e-11
950,-1.0973940099225512e-12,-2.414062080341645e-11
960,-2.622079918842161e-13,-2.4402828795300666e-11
970,-9.285929667959135e-13,-2.533142176209658e-11
980,3.6337208466494325e-13,-2.4968049677431635e-11
990,-1.2778034255670178e-12,-2.6245853102998653e-11
1000,-9.363471189449552e-13,-2.718220022194361e-11
1010,-9.247661086160656e-13,-2.8106966330559674e-11
1020,-7.634259386489805e-13,-2.8870392269208654e-11
1030,-9.462127924604501e-13,-2.9816605061669105e-11
1040,-1.0567275342108495e-12,-3.087333259587995e-11
1050,-5.724488210625568e-14,-3.093057747798621e-11
1060,4.801663685007889e-13,-3.045041110948542e-11
1070,-3.662850359443745e-13,-3.081669614542979e-11
1080,-8.579894763292744e-13,-3.1674685621759066e-11
1090,-1.343700632000944e-12,-3.301838625376001e-11
1100,-1.3540921862834132e-12,-3.437247844004342e-11
1110,-1.4801685200147053e-12,-3.5852646960058124e-11
1120,-1.0529129391018735e-12,-3.6905559899159996e-11
1130,-1.306866868327391e-12,-3.821242676748739e-11
1140,-1.6204486441104515e-12,-3.983287541159784e-11
1150,-2.0249426912790457e-12,-4.1857818102876884e-11
1160,-2.3416398642024633e-12,-4.4199457967079346e-11
1170,-2.270495513494747e-12,-4.6469953480574094e-11
1180,-2.3299697924028076e-12,-4.87999232729769e-11
1190,-1.9571029118083024e-12,-5.0757026184785205e-11
1200,-1.2252907196711055e-12,-5.1982316904456314e-11
1210,-1.6345940896505544e-12,-5.3616910994106867e-11
